neighbors,power,mare,rmspe
3,1,0.446608191725,525.051960326
3,1.5,0.430695903869,437.856997949
3,2,0.418169876075,365.920977902
3,2.5,0.40841705685,310.721855923
3,3,0.401038781675,271.291715497
3,3.5,0.395615490017,244.861750411
3,4,0.3916999334,227.910546225
3,4.5,0.388941725449,217.140747647
3,5,0.387028434547,210.042595606
4,1,0.689892757869,1209.15945567
4,1.5,0.624307683907,985.595502536
4,2,0.568289265979,789.650956836
4,2.5,0.522166544311,627.85184668
4,3,0.485640633405,502.147403379
4,3.5,0.457701928322,410.093740128
4,4,0.436945000413,346.241260579
4,4.5,0.421880306978,303.940435958
4,5,0.411137516183,276.760000161
5,1,1.07325813489,1943.49941354
5,1.5,0.928503443434,1580.33710887
5,2,0.802215470404,1254.00645441
5,2.5,0.696999790984,977.277044171
5,3,0.613160016019,755.889012541
5,3.5,0.548933245107,588.474664279
5,4,0.501322658437,468.310275961
5,4.5,0.466951970765,386.031013441
5,5,0.442605278055,331.984459532
6,1,1.34477627637,2544.12983288
6,1.5,1.14815450256,2067.16702252
6,2,0.972709720911,1632.04899773
6,2.5,0.824377866,1258.75806782
6,3,0.705206971745,957.326636491
6,3.5,0.613674571414,727.536773784
6,4,0.545927723369,561.271940448
6,4.5,0.49724772879,446.358927009
6,5,0.463015918932,370.102148202
7,1,1.5300758242,2978.00607798
7,1.5,1.30082458288,2424.68152382
7,2,1.09225707222,1911.63330213
7,2.5,0.913625162162,1466.4828922
7,3,0.769101911183,1104.53204821
7,3.5,0.657924970503,827.668869139
7,4,0.575822578558,627.147084879
7,4.5,0.517120261125,488.551009195
7,5,0.476117802508,396.550694246
